Date,Time,Sid,value
2020-07-28,"12:24:23,129",A4,0.0
2020-07-28,"12:24:24,100",A0,0.0
2020-07-28,"12:24:24,108",A1,0.0
2020-07-28,"12:24:24,117",A2,0.0
2020-07-28,"12:24:24,121",A3,0.0
2020-07-28,"12:24:24,129",A4,0.0
2020-07-28,"12:24:25,104",A0,0.0
2020-07-28,"12:24:25,112",A1,0.0
2020-07-28,"12:24:25,116",A2,0.0
2020-07-28,"12:24:25,124",A3,0.0
2020-07-28,"12:24:25,132",A4,0.0
2020-07-28,"12:24:26,103",A0,0.0
2020-07-28,"12:24:26,111",A1,0.0
2020-07-28,"12:24:26,119",A2,0.0
2020-07-28,"12:24:26,128",A3,0.0
2020-07-28,"12:24:26,136",A4,0.0
2020-07-28,"12:24:27,107",A0,0.0
2020-07-28,"12:24:27,115",A1,0.0
2020-07-28,"12:24:27,123",A2,0.0
2020-07-28,"12:24:27,127",A3,0.0
2020-07-28,"12:24:27,135",A4,0.0
2020-07-28,"12:24:28,110",A0,0.0
2020-07-28,"12:24:28,118",A1,0.0
2020-07-28,"12:24:28,122",A2,0.0
2020-07-28,"12:24:28,130",A3,0.0
2020-07-28,"12:24:28,138",A4,0.0
2020-07-28,"12:24:29,109",A0,0.0
2020-07-28,"12:24:29,118",A1,0.0
2020-07-28,"12:24:29,126",A2,0.0
2020-07-28,"12:24:29,134",A3,0.0
2020-07-28,"12:24:29,138",A4,0.0
